nbIndividus,nbColnes,nbNouveaux,nbGeneration,nbGenerationInjection,methodeMutAc,methodeSelection,cout,tempExecution

240,54,94,1239,26,2,1,52.551971,5.784

1380,97,21,931,108,0,0,62.812521,5.915

925,82,7,765,216,2,0,54.779443,6.009

408,14,93,1045,328,1,0,56.919269,7.67

834,49,64,1374,62,0,0,60.795506,10.434

263,19,99,1744,728,0,0,60.981239,6.765

1681,82,4,777,205,1,1,47.598404,8.441

649,7,20,867,347,0,1,65.078007,15.021

1738,100,17,2403,856,0,0,52.951005,7.739

440,87,49,2078,927,0,0,56.039492,5.745

784,47,18,1715,552,2,1,49.307296,15.039

617,75,100,2175,942,0,1,57.614432,7.493

1592,45,50,1132,318,1,0,49.329048,22.577

1963,89,38,249,124,2,1,55.045376,5.902

1079,87,95,1763,41,0,0,58.853128,7.335

1378,95,79,1383,544,2,0,47.429553,6.877

813,75,89,379,62,0,0,69.847097,5.598

971,82,59,1629,368,0,1,54.057394,7.745

1066,58,83,2289,257,0,0,56.339895,15.739

850,42,78,1640,649,0,1,54.62459,18.399

652,91,2,2270,1104,1,1,46.371631,5.997

1469,27,18,381,155,1,0,55.714248,14.076

139,48,13,1202,387,0,0,63.965013,5.524

1660,92,30,1271,513,0,0,58.082717,6.841

1853,23,37,1473,396,0,0,58.676091,62.959

856,18,73,900,260,0,1,59.654498,19.027

669,52,2,1646,473,2,0,47.598404,9.01

1969,14,64,841,81,2,0,55.119167,51.432

1417,99,39,912,437,1,0,51.774562,6.232

256,45,46,1974,83,0,1,56.700306,6.591

248,96,36,1296,547,0,1,58.772171,5.336

1552,28,50,1816,99,1,1,48.193485,76.978

1388,70,32,2098,679,1,0,46.769977,15.076

1829,17,7,1837,832,2,0,49.494048,87.565

132,25,91,904,19,0,0,71.206849,5.322

1463,39,95,1381,29,2,1,47.914835,41.634

1479,26,55,1015,443,1,1,48.614272,44.062

981,10,20,994,452,2,0,52.966779,20.715

1915,62,55,110,43,1,1,63.907734,7.134

732,56,11,829,317,1,1,50.248685,8.194

1745,66,58,215,21,2,0,64.317124,7.074

1152,15,49,2304,616,2,0,48.453546,48.893

423,100,87,378,103,2,0,58.970769,5.168

1432,81,74,1451,712,2,1,46.769977,10.241

1579,87,75,1324,227,2,1,47.607699,8.769

1106,83,82,981,313,2,1,48.006045,7.073

1962,24,26,112,6,1,0,73.963794,10.073

987,85,94,2245,628,1,0,46.371631,7.75

1514,83,94,1993,448,0,0,54.851561,9.591

958,26,21,991,342,1,1,49.335668,20.97

1228,92,9,284,19,0,1,68.038741,5.413

564,75,64,199,61,1,0,66.11901,5.186

1853,66,92,1245,365,1,0,48.977182,16.334

363,88,13,2339,843,1,1,46.371631,5.271

954,57,31,1840,405,1,1,47.429553,15.951

1299,57,33,1979,536,2,0,48.591831,18.693

669,64,32,190,79,0,0,76.765223,5.367

513,83,81,2043,83,0,0,56.33417,6.062

527,31,59,2381,697,1,1,51.083732,15.577

579,66,27,1029,302,1,1,48.25798,6.777

534,13,45,407,64,2,0,64.346628,6.846

1327,9,51,2100,253,2,1,49.442699,102.089

1766,9,98,1665,184,0,0,58.718145,88.027

263,81,88,1298,379,1,1,48.079835,5.416

1378,24,76,1937,654,0,0,58.523268,46.761

1175,54,2,1380,186,1,1,47.754109,18.687

418,70,60,660,230,1,0,56.36453,5.479

1005,22,42,1237,462,2,1,49.024795,29.127

482,95,71,601,186,2,1,48.990177,5.55

1969,13,41,1811,225,0,1,56.488335,171.046

1176,6,98,1824,106,1,1,49.063967,75.242

805,87,25,2160,852,0,1,51.773873,6.9

1191,79,2,361,167,2,0,59.463358,5.9

212,89,74,1369,625,0,1,58.107724,5.248

132,5,15,2405,272,2,0,64.01371,5.951

774,21,68,1147,507,0,1,59.152466,18.786

1875,22,73,862,98,1,0,49.449318,40.638

646,20,55,1091,278,1,1,48.657014,14.466

465,68,14,1321,337,0,1,54.963462,6.334

918,13,100,1742,562,2,0,55.876724,26.894

1538,60,55,1273,303,1,1,48.977182,21.517

1147,27,42,584,154,2,0,58.815602,13.2

829,74,9,260,8,0,1,69.258689,5.563

946,96,74,2409,1104,1,0,49.502173,7.135

565,87,99,1220,418,0,0,62.093187,5.596

872,62,24,2340,302,2,0,46.371631,10.933

305,90,78,1791,499,0,1,57.145178,5.463

636,27,25,1766,102,0,1,54.255305,17.371

1634,51,100,2037,665,2,1,49.315903,47.638

1862,7,4,1055,172,1,0,52.549983,65.332

336,67,83,2353,516,0,0,53.689614,6.213

347,25,56,637,95,1,1,51.526959,6.482

1288,49,93,787,363,1,0,50.157475,12.041

1928,58,72,1784,9,0,0,57.921454,31.181

451,90,76,165,11,2,1,62.888372,5.125

1853,83,45,1628,716,0,1,53.892394,12.02

885,63,2,1157,537,2,1,47.429553,9.601

1480,84,41,1470,29,0,1,54.543364,9.234

1770,18,84,1715,388,1,0,50.001174,74.176

532,77,25,2256,1045,0,0,57.742138,6.398

1671,71,61,1872,258,2,0,48.277745,15.841

1198,29,72,1062,113,2,0,49.012617,20.765

1591,56,61,852,377,2,0,54.200218,14.438

1349,19,23,1582,192,1,0,48.885821,41.703

1892,74,71,837,284,2,0,48.769977,10.296

1088,10,100,565,121,1,1,68.980551,22.234

1100,45,25,1049,24,2,1,49.828587,17.949

1297,49,44,689,335,2,1,49.484753,15.012

315,21,19,273,19,2,1,60.935148,5.673

182,62,7,1060,459,1,1,49.892394,5.307

431,31,49,428,21,0,1,66.981239,6.308

1858,98,6,301,133,2,0,58.095863,5.57

1821,21,37,124,9,2,0,69.733827,10.078

933,33,23,1654,789,0,1,54.5508,25.862

1755,68,58,1508,727,1,1,46.957417,21.883

846,27,14,511,249,2,0,59.188087,9.624

1269,73,6,1041,142,2,1,47.420258,10.542

489,19,44,717,97,1,0,57.766286,7.367

1758,98,15,2431,746,0,0,54.563129,7.853

1409,38,52,1403,102,0,0,61.815111,26.226

1584,38,45,325,106,1,1,56.659897,14.939

1109,40,48,790,357,0,0,65.049973,12.116

1051,65,96,824,62,1,1,50.799037,9.269

1372,98,48,1050,473,0,0,57.793638,6.049

1245,9,93,1372,537,2,1,50.898967,60.233

415,71,74,798,227,0,1,61.844615,5.627

