nbIndividus,nbColnes,nbNouveaux,nbGeneration,nbGenerationInjection,methodeMutAc,methodeSelection,cout,tempExecution
157,46,91,832,104,0,1,271.648333,5.662

789,18,42,2850,136,1,1,174.99649,66.227

546,18,34,723,223,2,0,222.46805,9.355

1310,93,3,1573,11,2,0,191.881763,10.286

436,28,30,3835,1305,2,0,180.187155,15.789

1884,67,13,2872,123,1,0,167.980136,39.359

1125,94,41,2194,276,1,0,176.432724,10.843

1294,6,5,4221,1399,1,0,173.481047,139.561

1612,51,26,3524,1537,1,1,169.612356,117.915

1804,26,45,424,90,2,1,237.189382,40.92

891,10,10,3827,1442,2,0,176.577081,59.969

1988,32,25,2744,236,1,1,171.332819,244.637

1377,97,68,1404,559,1,1,190.716523,9.694

525,57,18,856,37,2,1,218.700605,8.314

1783,95,37,1797,589,0,0,231.816139,14.022

397,58,49,3199,323,2,0,176.866225,9.331

1131,16,73,4938,1801,1,1,160.548296,217.173

1518,77,40,764,39,2,0,215.189344,10.285

182,15,60,1505,543,2,0,228.544828,6.264

1620,66,84,2243,367,2,1,173.343689,42.881

1597,46,58,524,41,0,1,285.006965,24.991

1621,24,73,4913,2094,0,1,198.920641,358.74

343,70,67,4201,1401,2,0,162.179424,9.052

1581,65,10,4599,386,1,0,160.099869,46.393

937,93,84,2534,890,1,0,172.162187,10.579

1968,43,64,1156,224,1,0,204.768318,38.264

919,49,9,1265,201,0,1,252.725477,20.213

513,41,96,4434,693,0,0,211.764583,17.291

948,70,51,3433,1546,1,1,162.796391,24.45

1895,79,27,2631,1084,2,0,177.74575,23.743

1418,52,75,2248,725,0,1,224.012592,58.157

