nbIndividus,nbColnes,nbNouveaux,nbGeneration,nbGenerationInjection,methodeMutAc,methodeSelection,cout,tempExecution
1832,72,63,4822,1694,1,1,153.118261,80.018

1442,53,79,3418,535,0,1,214.650863,84.653

371,89,55,1506,199,0,0,246.995983,6.248

459,83,60,852,395,0,1,262.672886,6.176

1510,70,81,662,38,1,1,221.621089,15.049

494,10,89,3481,795,0,0,219.204191,22.053

987,18,95,1208,30,0,1,258.061265,45.57

391,58,35,4684,2290,1,1,159.208896,14.522

506,23,16,1946,789,1,1,193.89791,20.182

432,16,4,566,92,2,0,238.048116,6.932

176,4,14,596,77,1,1,258.898961,6.047

1449,99,77,3747,529,0,1,213.413964,16.493

1826,47,41,3127,918,2,1,170.663328,145.755

324,2,64,2948,701,1,1,197.892388,19.591

1168,24,54,290,74,2,0,256.094882,10.247

596,2,40,4348,1878,2,0,195.272682,37.659

450,6,62,4644,127,0,1,206.803573,45.051

719,61,62,4854,1996,0,1,194.380847,28.388

272,35,91,4612,1381,0,0,210.933741,10.015

1556,88,53,4291,1014,2,1,158.697588,26.191

1765,70,74,3758,659,2,1,163.730339,65.221

421,46,67,3772,841,0,0,212.731946,11.903

880,42,44,4346,146,2,0,161.044471,34.668

833,88,75,1390,163,1,0,190.395571,8.108

536,4,80,1956,969,0,1,245.4281,29.413

1974,83,35,1132,349,1,0,197.042684,12.482

1679,63,96,2118,1027,1,0,190.363111,28.003

371,24,14,3115,1172,0,1,209.072314,17.841

135,90,95,1478,39,0,1,261.338627,5.899

1528,98,58,4524,1025,0,1,201.630491,18.761

1589,33,88,534,234,1,1,230.346989,33.08

403,21,52,4850,1569,2,0,172.054952,17.898

1548,78,73,3937,1536,1,0,160.88729,26.473

232,55,50,1407,641,1,0,199.234116,6.014

990,100,21,1957,401,0,1,225.669453,9.009

1719,87,47,4259,1242,1,0,158.794947,24.448

1845,31,14,625,172,1,1,227.310113,51.364

1813,26,96,3089,355,2,1,164.575766,258.591

1471,8,54,3371,1607,1,1,170.844481,281.502

1400,68,93,4548,2249,2,0,163.902165,35.202

1922,11,92,1607,686,0,1,241.539866,214.432

1856,95,31,690,285,2,0,219.905627,8.164

1656,4,39,3558,852,0,0,214.601674,186.619

1280,95,61,106,18,0,0,335.079383,5.808

764,77,30,1106,7,2,0,205.064086,10.477

539,92,15,4999,1564,1,0,155.96816,10.563

1019,84,91,1721,591,2,0,191.737398,9.655

565,55,18,4918,343,1,0,166.129725,16.324

1890,86,93,267,117,1,0,247.564585,7.059

1514,67,96,4706,330,0,0,204.412069,41.725

1901,83,65,2835,175,0,1,217.835476,30.067

211,89,92,4411,427,2,0,180.89823,7.049

121,66,28,2972,348,2,1,183.628466,6.007

1053,20,45,2467,922,2,1,169.312221,85.31

1478,66,22,3430,1524,1,1,164.543804,52.941

1233,47,51,3160,923,1,1,166.248826,70.931

210,80,78,1658,544,1,1,194.178664,5.954

249,20,69,2660,225,2,1,186.717462,11.012

334,84,71,1140,148,2,1,196.565798,6.174

863,28,75,4755,2117,2,1,154.949524,92.245

231,4,76,2948,1455,1,1,205.517016,13.023

316,15,69,4496,640,0,0,213.168383,14.014

1438,43,98,1466,326,2,0,199.913768,29.282

1704,50,2,2840,680,0,0,216.884789,54.364

1354,80,57,2903,240,1,1,165.034845,23.669

1989,69,40,2963,494,0,0,212.690216,37.778

321,20,34,4707,674,1,1,164.132793,21.545

190,95,28,1602,480,0,0,244.551129,5.622

504,27,77,2638,527,0,1,225.730048,23.115

152,98,64,3379,1345,0,1,214.493207,6.036

1550,36,75,742,93,0,0,269.878859,22.039

1265,19,68,4363,1819,1,1,165.935557,216.554

856,46,99,1634,584,1,0,184.324752,14.435

1776,43,73,2917,499,1,1,171.827313,148.088

1537,31,94,4464,753,2,0,161.885282,113.694

1790,20,23,3012,878,2,1,168.483857,284.381

1757,43,88,4407,317,1,1,153.948397,213.154

1921,6,98,4065,1610,2,1,171.993281,590.33

132,15,49,782,168,2,1,245.975886,5.685

571,92,6,3080,348,0,0,213.414868,8.523

725,82,86,3606,1154,2,0,175.778205,11.903

1445,94,2,2400,628,0,0,219.63464,11.959

1344,92,56,192,9,1,0,276.456394,7.222

188,65,38,3785,1818,0,0,214.488392,6.797

1141,25,21,409,91,2,1,247.677184,19.558

141,9,31,3109,1318,2,0,201.553281,6.93

715,33,51,3632,1360,2,0,166.036528,26.464

885,45,99,1517,431,0,0,250.674006,14.759

562,31,50,3889,648,1,0,165.388791,20.708

285,29,9,138,19,2,1,307.219018,5.383

528,64,15,2778,759,1,0,179.659788,10.186

1809,78,99,1341,464,1,0,194.959098,14.624

998,78,65,4250,2105,2,0,164.165869,18.229

1982,38,21,1599,675,1,0,188.463445,58.799

1640,56,93,1805,674,0,0,236.264551,29.397

1035,26,69,1095,236,1,1,205.319062,36.805

130,77,57,761,339,2,0,223.338936,5.259

557,99,86,2809,1343,2,0,168.241433,8.377

1128,24,26,2922,616,2,0,174.915135,54.409

1675,81,95,2997,322,0,0,216.75287,22.298

1090,70,69,3371,59,2,1,163.892512,33.6

1902,50,6,3885,1497,0,0,209.364468,88.675

650,38,49,1048,513,2,0,210.8725,9.732

169,99,25,169,53,0,1,335.190901,5.103

631,5,53,2943,1016,0,0,227.012794,29.533

745,3,20,3233,879,1,1,188.687314,87.883

400,42,29,4953,1714,2,1,159.979448,21.407

1234,31,16,4740,2002,2,1,155.410952,172.826

1376,40,21,3333,1130,2,1,168.560034,118.274

1746,93,5,1939,117,1,0,172.502314,13.748

1200,6,22,2568,1196,0,0,229.79129,75.943

1430,100,7,684,260,2,0,217.727335,7.386

754,41,67,3897,762,2,0,164.406853,26.011

591,74,73,3207,524,1,1,171.590557,12.886

1421,31,98,2836,38,1,0,189.065582,76.378

1080,50,32,2297,1074,1,0,181.23171,24.952

995,30,73,4564,972,1,1,157.897533,114.661

368,77,90,4715,2289,0,0,207.504174,8.893

1326,22,21,3233,490,0,1,215.207693,170.583

1351,44,36,2805,1122,2,1,172.433279,85.432

1999,99,70,292,69,2,1,247.402104,7.177

289,47,59,166,63,2,1,293.976641,5.449

363,40,71,343,160,1,0,260.905569,5.666

1781,96,60,4773,1203,1,1,145.170299,25.751

1196,91,84,3451,918,2,1,160.162194,16.367

1633,39,63,4213,1798,2,0,171.907749,102.009

435,89,4,1813,759,0,1,238.594936,6.853

1895,5,77,3824,1307,1,0,172.955179,264.053

1131,73,74,4568,781,2,1,157.590397,35.887

1960,27,40,986,479,0,0,261.047793,48.611

723,95,40,2787,770,1,0,168.846296,9.352

1965,37,76,3295,610,2,1,164.347446,247.45

671,79,18,3652,640,1,0,163.701206,11.352

558,30,25,509,107,2,1,246.807364,9.078

1710,70,47,300,113,2,0,257.905684,7.945

1750,68,66,819,33,2,1,217.336602,22.259

925,90,37,3935,883,1,1,161.903779,14.802

1398,41,46,2386,673,0,1,227.826544,84.413

1006,26,70,803,380,0,1,262.515645,26.914

1722,90,31,1503,204,0,0,235.88474,11.296

1247,42,72,1001,131,2,0,204.517927,18.689

1912,65,36,3274,8,1,0,169.715168,71.482

746,48,63,4845,1004,2,1,162.636349,45.781

1139,99,92,2775,1171,1,1,171.240507,12.867

1014,13,10,2505,672,2,0,195.433569,48.475

1868,34,65,1433,109,2,1,187.042395,111.017

1119,36,60,3250,536,2,1,169.610813,89.171

1399,7,81,254,31,2,0,266.032155,15.153

1378,95,75,4998,573,1,1,154.821708,22.262

1458,47,13,4634,590,2,1,155.521145,144.764

1431,72,90,966,224,0,0,251.425424,11.082

1732,56,42,2050,967,0,1,225.998528,66.645

1344,57,45,4921,567,1,0,157.079906,51.093

1032,57,51,416,180,2,0,235.085437,7.579

499,46,88,4319,866,2,0,161.818749,15.268

627,95,19,3218,601,1,0,164.216837,9.362

936,90,45,916,66,1,0,212.6469,7.565

1001,34,15,362,98,0,1,293.049298,13.283

1318,32,18,3400,1339,1,0,167.062361,67.271

551,9,43,3129,816,0,1,214.259654,42.967

1576,46,98,2171,124,2,0,189.453405,44.452

1425,95,4,2574,1089,0,1,208.932081,13.165

711,58,98,3509,1585,1,0,179.753104,16.544

862,15,80,4240,1997,1,0,173.777355,56.518

1601,5,79,216,101,0,1,331.271755,28.766

541,56,18,3269,1564,0,0,214.714793,12.385

871,38,15,1360,380,2,0,194.714698,15.574

595,100,23,3130,644,1,1,168.344883,9.533

1165,38,51,1127,293,2,1,199.815512,34.686

874,2,48,4808,1121,1,0,186.780078,81.596

1039,47,79,1154,556,1,0,206.331884,15.158

1084,77,73,4621,1335,1,0,164.778727,21.129

126,11,27,327,134,1,0,279.65699,5.221

1087,98,6,1794,631,2,0,184.687812,9.338

1810,47,28,1726,748,0,1,234.821992,82.444

966,6,100,1700,692,1,0,233.666494,35.455

618,76,4,1809,766,2,1,185.145829,9.132

132,55,96,1968,723,0,0,229.290652,6.235

1504,26,65,168,19,1,1,282.742977,15.744

511,99,99,1299,274,0,1,264.760563,6.559

1221,99,4,581,218,0,1,261.997898,6.632

1280,81,71,4961,2439,2,1,150.263657,31.89

562,31,94,2720,31,2,1,187.83121,30.088

897,65,91,4775,1562,1,1,155.83105,34.817

1610,7,66,556,228,0,1,284.302488,62.549

1064,95,23,1374,257,1,0,192.327887,8.408

663,70,97,827,119,2,1,214.41476,8.016

1868,60,2,4303,777,0,0,200.455801,66.661

128,39,45,4522,928,0,0,200.719546,6.776

748,25,23,103,43,1,1,311.069575,6.717

1247,57,43,2113,629,0,1,224.83254,36.85

1911,98,32,3440,455,1,0,166.095981,19.461

1515,95,18,3082,639,0,1,212.288466,15.016

422,77,33,2634,970,2,1,179.647552,8.464

691,72,74,2919,555,1,0,177.961752,11.472

719,10,29,4784,563,0,0,215.639632,49.624

104,78,40,3487,110,1,0,182.201978,5.85

996,16,60,3495,973,0,0,214.045434,58.558

1801,53,43,693,240,2,0,213.987576,17.655

1336,28,51,1051,160,0,0,252.417263,26.983

311,43,40,4464,191,2,0,171.40807,10.608

1272,21,78,504,60,2,0,239.860758,17.315

494,85,25,2893,732,0,1,221.022868,8.769

1954,4,74,1521,294,1,0,203.049022,116.415

1112,24,69,2618,252,0,1,224.18037,95.527

1255,25,70,4150,320,2,0,167.623809,88.676

908,71,97,3855,1225,0,1,207.987806,24.484

1410,15,38,906,418,2,1,210.493933,66.713

222,39,82,3791,1370,2,0,167.165403,8.211

264,59,22,2465,127,2,1,178.181745,7.802

277,93,42,2685,921,0,0,224.440879,6.441

948,29,46,986,7,2,1,216.502213,32.74

365,3,80,4593,1897,2,0,193.151683,20.668

254,37,32,4899,2091,2,0,164.902759,9.95

453,44,65,1328,396,1,0,195.559151,8.072

1255,84,71,2668,894,0,1,212.586053,16.953

150,39,12,762,48,2,1,240.38447,5.566

361,27,7,840,264,0,0,267.01185,6.832

1038,75,21,1674,237,2,0,194.276864,11.061

1410,26,8,2853,116,2,0,167.68496,75.604

620,35,54,1691,187,1,1,191.184826,20.188

1347,19,73,4453,1714,0,0,206.708268,123.176

131,23,20,718,30,0,1,277.625761,5.618

721,41,64,4021,1688,2,1,166.123663,44.847

1811,40,93,2391,509,2,1,169.991625,145.394

1088,100,59,4485,1228,0,0,199.926028,14.549

1342,13,92,3232,1539,2,1,174.994211,216.602

1440,66,36,649,282,1,0,215.704574,11.645

406,73,85,291,16,1,1,260.664753,6.083

1624,81,69,1082,496,0,0,247.927109,11.365

694,72,65,2938,58,0,0,223.969955,13.008

826,61,7,4707,1196,0,0,202.870033,22.151

1503,44,75,3907,1766,0,1,208.301332,145.311

1865,72,54,1762,223,0,0,234.680875,21.547

823,100,21,1968,344,2,0,188.175798,8.577

977,93,14,3828,1664,0,1,210.889953,13.374

1352,73,59,3187,1269,1,1,166.106244,34.154

1874,55,88,1643,210,2,0,197.253336,35.782

1946,52,50,4810,790,1,0,153.124994,107.909

694,84,90,4175,498,0,1,202.052409,13.827

802,73,94,4205,1112,2,1,161.936426,21.645

1009,11,21,3454,486,0,1,209.548951,138.008

836,92,56,1082,64,2,0,203.024076,7.86

1722,100,32,2781,557,1,1,164.620974,16.261

1926,91,73,2548,24,0,1,223.741625,31.493

1244,100,4,3616,1360,2,1,155.569462,15.302

1385,83,24,4929,272,2,0,147.491972,25.245

1918,56,52,4310,1164,2,0,165.319742,82.502

1359,79,50,3356,922,2,0,170.169564,20.175

381,40,59,1937,26,0,1,234.087221,12.548

1968,90,91,532,173,2,0,231.417733,8.73

