nbIndividus,nbColnes,nbNouveaux,nbGeneration,nbGenerationInjection,methodeMutAc,methodeSelection,cout,tempExecution
21,34,58,14,5,2,0,17.888544,5.006
30,19,71,22,8,2,0,21.659049,5.006
3,2,21,29,5,2,0,21.659049,5.006
20,83,61,10,5,1,1,21.659049,5.007
18,89,91,11,5,2,0,21.659049,5.009
19,11,19,12,5,1,0,17.888544,5.011
16,12,67,20,8,2,0,17.888544,5.014
11,86,75,24,12,0,1,21.659049,5.032
13,73,60,14,6,0,0,17.888544,5.006
11,3,26,23,8,1,0,21.659049,5.006
29,82,55,27,9,2,1,17.888544,5.006
13,15,98,12,6,2,1,21.659049,5.009
27,32,14,21,7,0,1,17.888544,5.01
5,43,64,19,5,0,1,17.888544,5.012
10,74,66,22,11,1,0,24.808145,5.033
25,6,44,12,5,2,0,21.659049,5.019
8,87,33,24,6,1,0,17.888544,5.006
25,58,70,20,7,0,1,17.888544,5.006
26,68,67,13,5,0,1,21.659049,5.009
7,54,27,14,6,1,1,24.808145,5.009
23,61,96,30,10,1,0,17.888544,5.017
3,5,66,16,8,0,0,24.808145,5.024
1,5,10,10,5,2,1,26.465,5.013
2,56,100,26,8,0,1,24.808145,5.011
18,91,46,29,12,0,0,17.888544,5.027
10,39,46,30,11,0,1,17.888544,5.026
25,79,45,14,7,2,0,21.659049,5.025
3,100,68,23,7,0,0,24.808145,5.026
14,63,63,11,5,0,0,17.888544,5.007
4,88,40,21,8,2,0,21.659049,5.009
9,73,80,30,13,2,0,21.659049,5.008
7,26,36,11,5,0,1,21.659049,5.007
19,13,9,27,9,0,0,17.888544,5.008
29,100,23,16,6,0,1,21.659049,5.008
12,95,73,29,14,1,1,17.888544,5.008
23,3,69,13,6,2,1,17.888544,5.008
30,24,56,29,7,1,0,21.659049,5.02
20,34,92,27,12,0,0,21.659049,5.015
14,95,67,16,8,0,1,21.659049,5.017
10,54,3,25,7,2,1,17.888544,5.021
21,44,71,13,6,1,1,17.888544,5.008
